step,LLM (Monolithic),HRM (Static),"ARH (Ours, Principled)"
162,91.64745548825688,92.7486745300156,92.65440329316422
163,91.29767334826738,93.22492846726973,92.22141203395688
164,91.87145585463419,93.01143904493826,93.67728985291235
165,91.7791666914599,92.79195666769665,93.55173338607294
166,90.43335562432706,93.63262756140387,93.38109212859935
167,90.84505955309996,92.56731786136683,93.01675263576072
168,91.83936806517423,93.72673849252928,93.2716774226221
169,91.42107604385218,93.95560326146965,92.45668937121295
170,91.50951306924959,93.39725717424047,92.99719469224605
171,91.94919562212436,92.14047559624642,92.48023574892271
172,91.66785989543736,93.43900498187932,92.62946951267114
173,91.35818717879609,93.1117832700652,92.42697249293371
174,91.4577676119665,92.9127803977423,92.18195510289459
175,91.69684606296651,93.59359098516603,92.8192423475648
176,91.90205818782016,92.86437669454345,91.95975895213765
177,91.09527440647796,93.75093359188877,93.15594338791013
178,90.78125684377446,93.99093084908431,91.92241261435873
179,91.51990205210562,93.78363621778244,92.84096666955463
180,91.66722715177879,92.7883623790676,93.50160238376827
181,91.17668678510735,93.26016858286506,92.56703935390172
182,91.24799015711267,93.706403776487,93.2969055769714
183,91.07875198111213,93.14224098230918,92.81057367074797
184,91.12310190335229,93.62065837656496,92.4616062013944
185,91.95245415589211,93.55305464494045,92.94519296896071
186,91.66641516927038,94.54580558627944,92.3506794601358
187,91.18064034081698,93.20659223484773,92.76724778617195
188,91.80361980782153,92.75423029894336,92.88242202303765
189,91.39218367361057,92.70976983552832,93.07311345463654
190,91.91848665495652,93.58883517050884,93.06620680590336
191,91.7172307673628,92.63612352890569,92.06367804328701
192,90.08365790375268,93.5309782711981,92.79897352403428
193,91.2720583387635,93.48143913586773,92.99148755517064
194,91.39298940245715,93.10243724881214,92.36918787848407
195,91.56391468397423,92.80074038846364,92.45828418379551
196,91.91762940225641,93.74365546116375,92.83379703907727
197,91.72561882841364,92.84445024173803,93.68867968186167
198,90.92856317996156,93.04429826696074,92.06827894138117
199,91.37453535085105,92.06439070307668,92.64605761000139
200,91.13045988525084,93.34630285057688,93.06496902125778
201,90.88371771490212,92.35744603376513,93.2693699680013
202,91.8764586101261,92.63784900101255,93.69705342630517
203,91.78276661354155,92.91626361871961,93.00066471485272
204,91.5985632761821,93.36961217180206,92.46342621145583
205,92.1829618910742,93.3757253526142,92.10425814356184
206,92.11972301489996,93.38463327250957,93.05618093988811
207,91.27184133375923,93.07286215632287,92.48889488403374
208,91.35454233061553,93.29329464210181,92.24232083278706
209,90.80524181455864,93.22559225837082,92.59728022120835
210,91.68556282512546,92.66350294549264,92.7391491106147
211,91.60889227360082,93.11834768257098,92.78385023650068
212,91.28955435696214,93.65124132967162,92.19084673107218
213,91.47729413051069,93.47199606822558,92.67095182058708
214,91.76489068720942,93.178909890753,92.22035016716944
215,92.41301345767107,93.08766892948151,92.37852119689423
216,91.20986554238219,93.1896568903698,92.6688859163563
217,90.98313869380651,92.94847213710769,93.87264566073887
218,90.99846908053442,92.92197221748569,92.90612454920954
219,91.21693341574239,93.08637541400012,92.08439692021798
220,91.03296377382294,92.99474521701863,93.33282583789128
221,91.41881462413915,93.0717248895526,92.44029750851557
222,91.14669769432852,92.70685850799352,92.42783943996497
223,91.56998849761077,93.33250033405744,92.7440012455577
224,91.60279615868033,93.07588474713724,92.55225436474676
225,90.99527060582139,93.56957007512523,92.8957130979616
226,91.75162076181911,93.34296371178857,93.51181501987934
227,92.31340408173911,92.33931335018781,92.33891704910616
228,91.33625041426482,92.46283331038296,93.35318072160405
229,91.10099708172368,93.64919756740873,92.0464461233057
230,92.29061981581357,93.11084848269016,93.23498373501053
231,91.45250602405375,93.56382574176124,93.25191373286218
232,91.72702813828194,93.72558646674389,92.89360409919449
233,92.04444175852836,92.64044185268698,92.1229141150486
234,91.90042255416809,92.8605850880704,92.54863484604296
235,90.94099303522124,93.07915663944877,92.28799950072958
236,91.86875408737548,93.77724778727115,92.89906980101449
237,90.97963024204718,93.63354529498505,92.72453986442784
238,91.17491043149542,93.23260956585048,92.98261266197649
239,91.61024916630492,93.41159531164762,92.32840584875713
240,91.19910543021543,92.55580189155692,92.64109331593627
241,91.1505288936021,92.73527000289874,92.62338376994018
242,92.04365155729661,93.92770127132258,92.91779981999038
243,90.18389726802205,92.50053103045396,92.45524461868126
244,90.20222133103566,93.0911067534972,92.65996283751197
245,91.24318382988669,92.6567622715612,93.15135630004553
246,91.38539373676183,92.83265438633114,92.29017181503808
247,91.17279615245646,92.5717865475045,92.70996412212766
248,91.39287218949383,93.56525368701539,92.2534920987034
249,91.14294628769245,92.94212435360419,92.42798364803718
250,91.94861672978416,92.67176029300884,92.66590399981611
251,90.93632891877907,93.3198681991887,92.85856817476815
252,91.51033816635271,93.10083652654761,94.17060961363094
253,92.22184240213595,92.81380827602608,93.46988952981671
254,90.59610418266992,93.33901536391848,92.01508916555628
255,91.42892735493099,92.88343045965732,93.75823874885069
256,91.31344154522674,92.9627081937392,93.28313121403902
257,91.43772906156066,93.29399377584421,93.57604421489175
258,90.71962528288599,92.5434108612732,92.97950137949778
259,91.21062691628818,92.32803232880347,92.47623039667448
260,92.71408974372575,93.2053249334662,93.12443283825671
261,92.01577716082798,92.19051976041258,93.39003004952609
262,91.61431525803225,93.31306712423773,92.16970283572418
263,91.39521808137297,93.7950039071331,92.3133900684405
264,92.36980980670533,93.23190097319997,92.69325213265049
265,90.46612243113054,92.59215935012897,92.64938289064413
266,91.90024821196671,93.22510660313023,91.78212448206835
267,91.14268605892792,92.80988568883187,93.19353930263973
268,91.46862032776885,93.59770366762737,92.36931867139123
269,90.61106891558339,92.90876193402022,93.53796476772328
270,91.59885624021834,93.35279443908178,92.50970288572468
271,91.57903614971787,92.9615529270546,93.26308595661726
272,91.55832598318985,93.0773783740145,92.34570176131461
273,91.50782582292099,92.60356941613932,92.88028958757752
274,91.53905233269099,93.07843250516558,94.30696169008046
275,91.62964381851474,92.82508265660759,93.12828082636175
276,91.50367019936661,92.78214491951307,93.34352975458029
277,91.7196754847102,93.34220614979401,92.76145398065822
278,92.33735555653399,93.27104402351614,92.4067458344369
279,91.10122101840375,92.95935516412354,93.00006974926579
280,91.51196455529062,92.9828010796307,92.84996490066916
281,91.36809469224036,93.69780392349773,92.49610837698584
282,90.84227846878885,92.74261326116971,92.96291383145126
283,91.81078267975614,93.53868624862288,92.16123686393715
284,90.46354912704207,93.80316898994549,93.20466372452914
285,92.12991970554602,92.90846462685252,93.2835712342198
286,90.99222155606965,92.09282696708965,92.19098995991375
287,91.8139471511853,93.06014526503189,93.21647114331981
288,91.66289711165138,93.24264421426345,93.12272352865588
289,91.71303894453916,92.37437394429834,92.76091208218159
290,91.7840426470365,93.0137239596046,92.4733814061575
291,92.22810016762686,93.43358256612578,93.95179007371588
292,91.70374874834732,93.42733170942354,92.94020252778839
293,92.02813135370734,92.79110789851978,93.23657917282605
294,90.94785041172581,92.66931324162444,92.85417652152584
295,90.91742285796299,92.76190891244022,92.92087831893667
296,91.07365868036229,92.71816945561795,92.31646626072852
297,90.84538959700318,92.23216182604699,92.44441431131997
298,91.438552682863,93.0042201292108,92.76000133897877
299,91.37732787398399,93.34324897932812,93.18406195738812
300,91.39607965385888,93.47584969926967,92.62247002909564
301,92.24665116599529,93.33110057303733,92.90425830252953
302,91.43307727403413,93.3136457071998,93.35217056984071
303,91.05859917464394,93.4859997860017,92.81143725692586
304,91.26644685612686,93.67700017185797,93.34769785241858
305,91.44627645045092,93.21276115946434,92.64598572481636
306,91.65443451597112,93.10542875278189,92.51085237449252
307,91.69880053057636,94.16247108117707,92.92229195504794
308,91.79568156913899,92.97768973369888,92.01449667620557
309,91.45221921228047,93.2364201933362,92.92468477904998
310,91.88418493688043,92.82414716613398,92.8804581021
311,91.06605908152983,92.95155931903447,92.83573474662383
312,91.96494607609448,93.43090422638839,93.07144846253803
313,90.70301572194704,93.25773152811138,92.67556504622507
314,91.76670054752302,93.54578184692771,92.43201675903764
315,91.42119652658347,93.90044409602534,92.77689516223094
316,91.31324596716966,92.88578848628532,92.6088817114629
317,91.48130673507285,92.58616273282388,92.8832805279913
318,91.6387866806387,93.25953724979216,92.44805844909726
319,91.82353665159899,92.69056282091933,92.55161721960188
320,91.79837807004675,93.18249375666228,93.3176064427371
321,92.24639229552349,93.01074418070502,93.2062764561446
322,91.73638619114081,93.15784656807617,92.33253715333812
323,92.62221048994114,92.23897086163826,93.04065197597484
324,90.55541380858045,92.70023993171071,92.45561037849522
325,92.81102525380618,93.4745596660524,92.74725671080789
326,91.71193069977727,93.31389777470586,93.02729669281472
327,91.5871116092813,93.55923297062766,92.7709617337344
328,92.69615870442543,92.58570448811705,91.86357047637962
329,91.38885456903196,93.18106023057848,92.34615357131293
330,91.06326294689212,93.18602922243342,92.17265571444986
331,91.94533364859423,93.66013971673001,92.1090055303511
332,91.1198488645066,92.18316830419556,92.9405401156305
333,90.51450286699979,94.13504406372407,92.35893211457174
334,92.01504942251118,92.55565823209446,92.07555447020663
335,92.42320479087127,93.11758141532955,92.62255182202101
336,91.70792666798235,92.92296169576362,92.94317730568575
337,91.67750772133778,93.74091038374793,93.23659745968165
338,91.84209919741038,93.47987390097994,92.51602922448868
339,92.09243946396394,93.2359583451837,93.04830015323687
340,90.81924432335049,93.10317508548665,92.71069206323261
341,91.833531074421,93.93756008569859,91.60492775469112
342,92.47297797485116,92.44505113551931,92.70518420416099
343,91.01179130317384,93.25253476011524,93.15620905329716
344,91.45303609992304,93.93140755017406,93.93440571531333
345,91.72423969308834,92.9130567361088,93.05469364969012
346,91.10629858727413,93.35125884657509,92.24032896633399
347,91.53486652309373,92.53645309634564,92.16411277218126
348,91.8827815115875,92.5062222770062,92.54308170017572
349,91.06517336757273,92.77728195575351,93.29640835059678
350,91.42126048281136,92.90451742644336,92.8906574557057
351,90.82938592425211,92.65071346375635,94.00097261648828
352,90.75576510088518,92.32180405851467,91.94961035980575
353,92.31406743293626,93.8863295449789,93.46251401924307
354,91.09507413963188,92.56333561228939,93.12434043087035
355,91.2284014710384,93.59806034075638,92.79844959874336
356,91.2842960935559,92.69967607913722,92.08752909743548
357,91.23919786550326,92.26125876934051,92.31795145445443
358,90.85610606182003,94.13404408159307,93.02674809135459
359,92.0618072431224,92.68569296871789,91.9975182696925
360,92.34283984050947,93.17804762899651,93.1072577918527
361,91.80949870429893,92.649718209175,92.98574504920079
362,91.2420994542799,93.1788701719922,93.57934471012626
363,90.86091068845754,92.81650042089399,92.58858293802899
364,91.97683940867668,91.93956820487904,92.75605352364009
365,91.16689832378577,92.32193715254114,93.00600992110192
366,91.80630585245095,92.7005957189711,92.07276769780941
367,92.13003661675899,93.02209610529316,93.28414113672723
368,90.52376072215723,92.84804116756037,93.74072065645312
369,91.67992346693192,93.03062571148531,92.5818829955407
370,91.23123306527653,93.53561453401281,92.45558826945812
371,90.5965326723659,93.80893375067977,93.40946330936885
372,91.58621888453455,92.38170003965602,92.84394858160498
373,91.18747970837585,93.38239761753395,91.58650417188451
374,91.43028435835944,92.34633483796554,92.55504157020735
375,90.94806577863314,93.47429564787674,92.25692654053665
376,91.42270801855209,93.40429165457668,92.5734842527672
377,92.4500376458149,92.72577437799988,92.24878162086901
378,91.47353731888101,93.59010386799481,93.28873348761508
379,91.18665969138551,92.83342711048034,92.55099857718888
380,91.41023482985655,92.7691585690633,93.41587423230466
381,91.74077256889714,93.41869286851913,92.55696459832879
382,91.28637289601572,94.01599001911823,92.62668299659181
383,91.35438791759972,93.5364080199862,92.46485623153615
384,91.19949701217304,92.99546978326568,92.6768730010686
385,91.3601788859918,93.62818954981736,93.45406991010348
386,91.06282632609052,93.22324164963254,92.45499915112556
387,91.20686490421105,93.3947074605051,91.86248814638022
388,91.3478060290979,93.1248025814031,93.05793832508618
389,91.32574498424673,92.86980020030975,93.02611005372225
390,90.66061724381176,92.60688692359574,91.94543930691646
391,91.67358770610778,93.57734605870236,92.45935536270039
392,91.14526958027696,93.1842631980725,93.07051915786363
393,91.23989887271226,92.9766413032361,93.57979167587449
394,91.37792456580536,92.78220198620785,92.93340191255652
395,91.9434206955682,92.49440094368548,92.31801418681155
396,91.10149708688269,93.34578815677942,93.19230649962009
397,92.08693170329715,92.42152846275876,92.56570387193754
398,91.01218492196345,92.67544212839394,92.8063471366608
399,91.58257917910231,93.34042303983517,92.95341862430674
400,91.45489746920458,92.69295343336883,92.36917539143694
401,91.1461106111083,92.19930815876613,92.34788405285025
402,92.3456355649479,93.52756317434967,93.01876227925271
403,92.20705429649469,93.15000699300292,92.74490179140162
404,91.61837566388627,93.58390825554184,93.56975245136509
405,91.58843265016331,92.82961607377463,92.62663141725388
406,91.17318101181326,92.83994005825681,92.44982649875682
407,91.87985778119146,93.83917142762084,92.1190707659485
408,91.84247244733267,93.10325490095305,91.20838065617608
409,91.54735990229872,93.09214973350461,93.21009906456742
410,91.62109513914437,93.32567301697264,92.5873095018122
411,91.69711951030736,92.28571064822464,92.93555862335197
412,91.9473235351067,92.80825411197549,92.85614027872028
413,92.20588457226759,93.7482923138328,93.05241736462669
414,91.2160782496158,92.77298643641332,92.68717952350977
415,90.19116435341574,92.67717285766446,92.320415486529
416,90.3585299796272,93.68706621195379,92.53951980161891
417,91.6616493489441,92.47145253826187,93.02617293552852
418,91.43828546433478,93.45189665313136,92.7530837600214
419,91.818727855782,93.54539807260788,93.47886446905284
420,91.52120738816399,93.1891964318206,93.46641986927587
421,91.23183486167616,92.79457034112544,92.25957109247183
422,91.67209861247017,93.92157585292031,92.40633646328703
423,92.19129859521239,93.12574202362404,92.36059131636674
424,92.15153562971258,92.05924064185132,93.30858134049353
425,91.05022218748263,92.25527975441813,92.2551646073287
426,91.68244183205226,93.0970014876724,92.92521379141807
427,91.4437974984284,92.56325273634073,92.6343914415009
428,92.04288233745834,93.5461085223409,92.52545907721861
429,92.46971107262151,92.85840453420624,92.8923657647845
430,91.23210898871378,92.2684730310814,93.40145834223541
431,92.30676688329304,93.81835265465004,92.9660881814382
432,91.19082666173335,93.37394822006372,93.04833287970308
433,91.33294448744826,93.09451640251557,92.89885890008166
434,91.97545288924172,93.58195892600689,92.60629980687862
435,91.2933380502762,92.85192946637247,92.93289897044389
436,91.78429716223545,93.50117745348062,92.71760556304405
437,91.441325936315,93.10008775681584,92.71226101669232
438,91.6574221004226,92.96476148632571,92.85451044804734
439,91.7148620791229,92.78190422310821,92.56294525509944
440,91.6812677121455,92.63927459014671,92.37028647046156
441,92.45787483553372,92.64948484365932,91.91987851956037
442,92.01848193370954,92.76926398813734,92.57629466647992
443,92.1613160786742,93.13910801528527,92.07100953352565
444,91.56573782943708,92.44995442213182,93.46774512838317
445,91.72248147948045,92.4671199427515,92.16747463658128
446,91.62530802583684,92.63636427661238,91.59378562771839
447,91.62421531684127,93.29350715574019,92.94247431607832
448,91.7713539688624,92.4249087870561,93.96214196427715
449,90.93363006200586,94.04756300620917,93.53449232739777
450,92.04702884914639,92.49672319911816,92.50404430889206
451,92.05395162783539,93.08932116176572,92.43755166753475
452,92.00750316640695,93.07537816857877,91.02493519008738
453,91.71164400010065,93.28224939784016,93.59241135731156
454,91.21322762529778,93.01936183117915,92.46402178531574
455,91.84893247704632,92.64066231169149,92.36042751738172
456,92.33003979006986,92.95692442763647,93.38650538702574
457,90.57635572875843,93.18242448906653,92.66585091938853
458,92.28964012604027,93.13580090043388,93.4247886323691
459,92.11802957623249,92.80886996972887,93.00075085231497
460,91.5025627661665,92.65348547760512,92.17605142289176
461,91.1572486458799,92.99361282099251,93.85328338806012
462,92.14226575787482,92.90033079176317,92.21611759559106
463,92.49136253127654,93.16929748918974,92.67103866464745
464,92.0257073957345,92.73947385926138,93.03095592615006
465,90.85743425844548,92.52754913776147,93.35797946566713
466,91.3155243223896,93.79835010279115,93.06452987090142
467,91.41536146675527,93.30711335912999,92.51490443134736
468,92.16848587525745,92.99316624297721,92.4945148688763
469,91.2921792792074,92.66740585987456,92.79545935136227
470,89.46397143088166,93.12594726069682,92.9685194400076
471,91.63724232701904,92.8639271115786,92.41174244459454
472,91.61368431855361,93.46457346876765,92.94374156714032
473,91.68468917342027,93.17774211452567,92.93753299898562
474,92.23246437437336,93.95452131279332,93.10758974687991
475,91.34547209431251,93.7145041081994,93.00987638420237
476,92.0121412100197,93.51907098176022,92.87095213381558
477,91.90582692682138,92.79985556755688,92.64355910372653
478,92.78503568843531,93.57542865740346,92.80333662948053
479,90.63668018274643,93.06141394109066,92.77989881912508
480,90.9167133688175,92.94894373929604,93.18542645037847
481,91.88999849565616,92.7776700152191,93.71732573992597
482,90.68919687571614,92.78543848126176,92.36524218774217
483,91.81082248396278,93.45866331184514,92.7858500401327
484,90.6795828840422,93.88084987814348,92.78154852065558
485,90.55337048959949,93.62445558381305,92.85582004817162
486,91.63549210661105,93.33079303427196,92.72500898241267
487,91.51875917008708,93.58181771278447,92.68433064144503
488,91.47292786034424,93.1745518180786,93.10220907995394
489,91.27339503145622,92.28570480026738,92.32227149278157
490,91.56471871697964,93.27422593491097,93.55904548572033
491,91.80998162951144,93.00360193726651,92.4623203414495
492,91.21701004007984,93.41739567999758,93.46132338288524
493,91.49971631520377,93.58510615465387,92.15212262714535
494,91.88630850663372,93.20056278452864,93.87393015999
495,91.61124327272476,93.71600113537137,92.73149959812146
496,91.52858884807242,92.14059028768796,92.98180934079991
497,92.40284271675188,92.97018735335298,92.97573536093144
498,91.02790580810195,92.73391204916234,93.10311046354227
499,91.97430759340769,93.0508077996744,93.12806805464646
500,91.04973560319216,92.57887105199674,93.42477279630256
501,91.2423151107346,92.95438850225352,91.96229015360892
502,91.82573407916279,92.60471703636777,92.40919381794856
503,90.79910073681039,92.72412513997396,92.10572662102143
504,91.95668820228822,92.94678767979137,93.03246360825364
505,90.99724552308399,93.0025750635479,92.84775422018394
506,91.30929915970192,92.34582349447572,92.71709297982652
507,92.11632736583182,93.64122563250685,92.05255248257834
508,91.99160537584541,92.63478921257567,93.1007461548419
509,92.65893065449525,93.50382505719938,93.4287539075245
510,91.85133282772613,92.40675237332563,92.10430819043283
511,91.05103032943725,93.57302222667116,93.37785328828272
512,91.63335712804384,93.52242575390359,92.28899948905529
513,90.90709145522246,93.83835277705319,92.84663800552744
514,91.71738495659598,92.32470058949377,93.32424703093363
515,91.24126661241066,92.21992840850713,92.86476614505501
516,91.84676106560246,93.30099442458189,92.36330438412921
517,91.07512424309962,93.46025457213456,93.22462577758594
518,91.58957869541918,93.55379218470794,92.8108090926727
519,91.24751934824863,93.60852017083918,92.8733794465272
520,92.04888022444712,92.70927951000805,93.5271429596728
521,92.7871682090112,92.6458130267088,92.83578315401223
522,92.0634075076168,92.83210803657256,92.9170712731788
523,91.69882902206058,93.64005200729422,93.46781891725279
524,91.41167902487403,92.56755767507103,93.12497996997344
525,90.54178427490251,93.11106891420981,93.729942744247
526,91.54369582865439,92.99579876643338,93.02281235340143
527,90.73414078958606,93.45517786329621,92.53502171799353
528,90.68437445714024,93.35129538853226,93.11922602932378
529,91.27629516214022,93.20793321825518,92.80669202069849
530,91.82416698300207,92.72398412888114,92.77486630305513
531,90.92501990177598,92.78510403145518,92.87722612721427
532,91.6248714133187,93.42177444912328,93.3513909711394
533,92.12578491220964,93.72225487315404,93.11089400830156
534,91.56514343766808,93.53062627884533,93.0269432514039
535,91.5324892791415,93.00139203508995,92.6873100731275
